"Story","Title","Result","Date","Stability","Duration (s)"
"Buying in Mercado libre","Estimate bike in Mercado libre","SUCCESS","2019-08-14T15:57:08.028-05:00[America/Bogota]","0.0","11.17"
"Buying in Mercado libre","Estimate bike in Mercado libre logged in the principal page","SUCCESS","2019-08-14T15:57:19.209-05:00[America/Bogota]","0.0","20.43"
